type sample_L2
pb 15000.0
clip_bound 20.0
log_path log/Alexnet/sample_L2/True/0
train_data data
test_data data
batch_size 64
test_batch_size 64
lr 0.0002
momentum 0.5
no_cuda False
seed 1
log_interval 1
privacy_delta 1e-06
sample_num 500
islog True
is_ratio_list True
num_clients 2
num_rounds 10
epochs 1
ratio_type 0
按照权重分配eps
权重越大,eps越大,噪声越小
device cuda
loading data
load data done
AlexNet(
  (conv1): Sequential(
    (0): Conv2d(3, 96, kernel_size=(6, 6), stride=(1, 1))
    (1): ReLU()
  )
  (conv2): Sequential(
    (0): Conv2d(96, 256, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (conv3): Sequential(
    (0): Conv2d(256, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
  )
  (conv4): Sequential(
    (0): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
  )
  (conv5): Sequential(
    (0): Conv2d(384, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (dense): Sequential(
    (0): Linear(in_features=9216, out_features=4096, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.5, inplace=False)
    (3): Linear(in_features=4096, out_features=4096, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=4096, out_features=10, bias=True)
  )
)
********start training********
start_round_time 2021-07-04 15:15:51
******client id  0 ******
client_update start
2021-07-04 15:19:54  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 90 ,loss= 1.5992298126220703
2021-07-04 15:19:56  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 100 ,loss= 1.5068795680999756
2021-07-04 15:19:58  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 110 ,loss= 1.4334684610366821
2021-07-04 15:20:00  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 120 ,loss= 1.3506757020950317
2021-07-04 15:20:01  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 130 ,loss= 1.3228033781051636
2021-07-04 15:20:03  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 140 ,loss= 1.5628502368927002
2021-07-04 15:20:05  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 150 ,loss= 1.459152340888977
2021-07-04 15:20:07  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 160 ,loss= 1.412889838218689
2021-07-04 15:20:09  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 170 ,loss= 1.2948036193847656
2021-07-04 15:20:11  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 180 ,loss= 1.288662075996399
2021-07-04 15:20:13  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 190 ,loss= 1.0892648696899414
2021-07-04 15:20:14  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 200 ,loss= 1.318855881690979
2021-07-04 15:20:16  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 210 ,loss= 1.2065359354019165
2021-07-04 15:20:18  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 220 ,loss= 1.423874020576477
2021-07-04 15:20:20  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 230 ,loss= 1.2840856313705444
2021-07-04 15:20:22  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 240 ,loss= 1.2239048480987549
2021-07-04 15:20:24  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 250 ,loss= 1.2093197107315063
2021-07-04 15:20:26  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 260 ,loss= 1.3515205383300781
2021-07-04 15:20:27  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 270 ,loss= 1.1784937381744385
2021-07-04 15:20:29  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 280 ,loss= 1.063766598701477
2021-07-04 15:20:31  client id= 1 ,round= 2 ,epoch= 1 ,client update iteration= 290 ,loss= 1.104982852935791
